permit_number,issue_date,project_value,type_of_work,building_contractor,property_use,year,PostalCode
DB-2017-00131,2017-02-01,15000,Addition / Alteration,Mercury Contracting Ltd,"Office Uses,Retail Uses",2017, V6B 6N9
DB452250,2017-02-01,181178,New Building,0820163 BC Ltd,Dwelling Uses,2017, V5X 2G1
BP-2016-03697,2017-02-02,25000,Addition / Alteration,RenBui Construction Group Ltd,Dwelling Uses,2017, V6J 1P3
BP-2016-04117,2017-02-02,25750,Addition / Alteration,AG Electric and Alarm Monitoring Co Ltd,Dwelling Uses,2017, V6R 1W4
BP-2017-00154,2017-02-02,44000,Addition / Alteration,Anthony Minniti,Service Uses,2017, V6H 3G5
DB-2016-02047,2017-02-02,200000,Addition / Alteration,PD Moore Homes Inc,Dwelling Uses,2017, V6M 3C7
BP-2016-04090,2017-02-03,50000,Addition / Alteration,Willow Spring Construction BC Ltd,Service Uses,2017, V6J 1L7
DB-2016-00460,2017-02-03,1043345,New Building,VCL Construction Ltd,Dwelling Uses,2017, V5Y 2V1
DB-2016-00461,2017-02-03,15000,Demolition / Deconstruction,All Right Trucking 99 Ltd,Dwelling Uses,2017, V5Y 2V1
BP-2016-02033,2017-02-07,15000,Demolition / Deconstruction,SOURCE ONE EXCAVATING LTD,Dwelling Uses,2017, V5N 1M1
BP-2016-04348,2017-02-07,13000,Addition / Alteration,Advanco Electric Ltd,Service Uses,2017, V6B 3N9
BP-2016-04482,2017-02-07,25000,Addition / Alteration,Pro Active Home Repair Inc,Dwelling Uses,2017, V6M 2E6
BP-2017-00186,2017-02-07,100000,Addition / Alteration,Fifth Element Construction & Renovations Ltd,Dwelling Uses,2017, V6G 3E3
BU467465,2017-02-07,15000,Demolition / Deconstruction,Canadian Excavating Ltd,Dwelling Uses,2017, V6P 5N8
DB-2017-00016,2017-02-07,25000,Addition / Alteration,Advanco Electric Ltd,Service Uses,2017, V6B 3L5
DB-2016-03093,2017-02-08,3380000,Addition / Alteration,Nick Linden Construction West Ltd,Dwelling Uses,2017, V6P 5X1
BP-2016-04662,2017-02-09,162000,Addition / Alteration,Reotech Construction Ltd,Office Uses,2017, V6C 2T6
BP-2017-00229,2017-02-09,400,Addition / Alteration,Joseph Fata,Dwelling Uses,2017, V6H 1R2
BP-2017-00247,2017-02-09,4200,Addition / Alteration,Landon Contracting Ltd,Office Uses,2017, V6E 4S3
BP-2017-00427,2017-02-09,75000,Addition / Alteration,MLK Properties Ltd,Transportation and Storage Uses,2017, V6A 3P8
DB-2016-01056,2017-02-09,210000,Addition / Alteration,PWS Contracting Ltd,Dwelling Uses,2017, V5K 1G8
DB-2016-03929,2017-02-09,40000,Addition / Alteration,KE Concepts 2001 Ltd,Dwelling Uses,2017, V6N 2Y4
DB452960,2017-02-09,984000,New Building,Best Builders Ltd,Dwelling Uses,2017, V6K 2Z3
BP-2017-00102,2017-02-10,12000,Addition / Alteration,New Image Projects Inc.,Office Uses,2017, V5M 0A6
BP-2017-00483,2017-02-14,6000,Addition / Alteration,Counterpoint Interiors Inc,Service Uses,2017, V5Z 4C2
DB452869,2017-02-14,1047655,New Building,Knaps Construction Ltd,Dwelling Uses,2017, V5M 3Y9
BP-2016-01920,2017-02-16,82630,Addition / Alteration,Wespac Electrical Contractor Ltd,Dwelling Uses,2017, V6G 1R5
DB-2017-00323,2017-02-16,105000,Addition / Alteration,T Q Construction Ltd,Dwelling Uses,2017, V5W 2P8
DB-2017-00338,2017-02-16,150300,Addition / Alteration,Matthew Durocher,Dwelling Uses,2017, V6L 3C1
BP-2016-04062,2017-02-17,50000,Addition / Alteration,V M S Management Inc,Dwelling Uses,2017, V6G 3H3
BP-2017-00330,2017-02-17,155000,Addition / Alteration,Klondike Contracting Corporation,Dwelling Uses,2017, V6K 4T1
BP-2017-00487,2017-02-17,5000,Addition / Alteration,Fina Electrical Systems Ltd,Dwelling Uses,2017, V5Z 1M8
DB452756,2017-02-17,705250,New Building,Cornat Construction Ltd,Dwelling Uses,2017, V5M 1V7
BP-2016-00226,2017-02-20,15000,Demolition / Deconstruction,All Star Excavating & Demolition Ltd,Dwelling Uses,2017, V5K 4C5
BP-2017-00361,2017-02-20,32360,Addition / Alteration,Aura Office Environments Inc,Office Uses,2017, V6E 2K3
BP-2017-00615,2017-02-20,3817,Addition / Alteration,Voltech Electric,Dwelling Uses,2017, V6H 1B2
BP-2016-04448,2017-02-21,45000,Addition / Alteration,Hodgson King & Marble Ltd,Institutional Uses,2017, V5X 4C5
DB-2016-00222,2017-02-21,1079218,New Building,Paradise Properties Ltd,Dwelling Uses,2017, V5S 2S2
DB-2016-00465,2017-02-21,650000,New Building,1070882 BC Ltd,Dwelling Uses,2017, V6R 2J8
BP-2016-02492,2017-02-22,425000,Addition / Alteration,Axiom Builders Inc,Office Uses,2017, V6C 1C8
BP-2016-03420,2017-02-22,450000,Addition / Alteration,Vertu Construction Ltd,Dwelling Uses,2017, V6R 1B8
BP-2016-04313,2017-02-22,150000,Addition / Alteration,Houston Landscapes Ltd,Institutional Uses,2017, V6J 2J4
BP-2017-00293,2017-02-22,30000,Addition / Alteration,Jaime A Perez,Dwelling Uses,2017, V5L 4L1
DB-2016-01131,2017-02-22,976750,New Building,Metro Van Construction Ltd,Dwelling Uses,2017, V6P 1Z7
DB-2016-01641,2017-02-22,844000,New Building,Avali Holdings Ltd,Dwelling Uses,2017, V5K 2T9
DB-2016-01645,2017-02-22,192500,New Building,Avali Holdings Ltd,Dwelling Uses,2017, V5K 2T9
