permit_number,issue_date,project_value,type_of_work,address,PostalCode,building_contractor,property_use,year,n,FSA,logPropVal
BP-2017-00361,2017-02-20,32360,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,Aura Office Environments Inc,Office Uses,2017,41, V6E,4.510008512940234
BP-2016-04498,2017-02-27,200000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2017,113, V7Y,5.301029995663981
BP-2017-00634,2017-03-02,80000,Addition / Alteration,"1066 W HASTINGS STREET, Vancouver, BC V6E 4M1", V6E 4M1,VPAC Construction Group Ltd,Office Uses,2017,31, V6E,4.903089986991944
BP-2017-00656,2017-03-06,400000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Fusion Project Management Ltd,Office Uses,2017,44, V6E,5.6020599913279625
BP-2017-01165,2017-03-07,19800,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,The Artek Group Limited,Office Uses,2017,44, V6E,4.296665190261531
BP-2016-04413,2017-03-08,200000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,Cirjak Construction Ltd,Retail Uses,2017,113, V7Y,5.301029995663981
BP-2017-00514,2017-03-10,300000,Addition / Alteration,"650 W 41ST AVENUE, Vancouver, BC V5Z 2M9", V5Z 2M9,NA,Retail Uses,2017,58, V5Z,5.477121254719663
DB-2016-03070,2017-03-10,40000,Demolition / Deconstruction,"6357 WEST BOULEVARD, Vancouver, BC V1V 1V1", V1V 1V1,Kare Environmental Ltd,Dwelling Uses,2017,843, V1V,4.6020599913279625
DB-2016-03071,2017-03-13,40000,Demolition / Deconstruction,"6367 WEST BOULEVARD, Vancouver, BC V1V 1V1", V1V 1V1,Kare Environmental Ltd,Dwelling Uses,2017,843, V1V,4.6020599913279625
BP-2016-02872,2017-03-14,49009,Demolition / Deconstruction,"3357 E PENDER STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,4.690275841077971
BP-2017-00671,2017-03-24,1284885,Addition / Alteration,"666 BURRARD STREET, Vancouver, BC V6C 2X8", V6C 2X8,Ledcor Industries Inc,Office Uses,2017,41, V6C,6.108864259106695
DB-2016-03072,2017-03-30,40000,Demolition / Deconstruction,"2108 W 47TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Kare Environmental Ltd,Dwelling Uses,2017,843, V1V,4.6020599913279625
DB-2016-03073,2017-04-03,40000,Demolition / Deconstruction,"2109 W 48TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Kare Environmental Ltd,Dwelling Uses,2017,843, V1V,4.6020599913279625
BP-2017-01418,2017-04-04,68975,Addition / Alteration,"1177 W HASTINGS STREET, Vancouver, BC V6E 2K3", V6E 2K3,Sasco Contractors,Office Uses,2017,41, V6E,4.838691709151223
BP-2017-01453,2017-04-05,150000,Addition / Alteration,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8", V7Y 1K8,NA,Retail Uses,2017,113, V7Y,5.176091259055681
BP-2017-00912,2017-04-06,215000,Addition / Alteration,"650 W 41ST AVENUE, Vancouver, BC V5Z 2M9", V5Z 2M9,NA,Retail Uses,2017,58, V5Z,5.332438459915605
BP-2017-01169,2017-04-06,1400000,Addition / Alteration,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9", V6E 3C9,Canadian Turner Construction Company Ltd,Office Uses,2017,44, V6E,6.146128035678238
DB-2016-03173,2017-04-07,150000,New Building,"1889 KASLO STREET, Vancouver, BC V1V 1V1", V1V 1V1,NA,Dwelling Uses,2017,843, V1V,5.176091259055681
BP-2017-00995,2017-04-10,107000,Addition / Alteration,"1055 W GEORGIA STREET, Vancouver, BC V6E 3P3", V6E 3P3,BC Coastal Projects Ltd.,Retail Uses,2017,33, V6E,5.02938377768521
BP-2017-01376,2017-04-12,150000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,NA,Office Uses,2017,40, V6C,5.176091259055681
BP-2016-03704,2017-04-13,31500000,New Building,"5411 HUDSON STREET, Vancouver, BC V1V 1V1", V1V 1V1,Haebler Construction Projects Inc,Institutional Uses,2017,843, V1V,7.498310553789601
BP-2017-01931,2017-05-10,25000,Addition / Alteration,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8", V6C 3E8,NA,Office Uses,2017,40, V6C,4.3979400086720375
BP-2016-02518,2017-05-11,58000000,New Building,"1768 COOK STREET, Vancouver, BC V1V 1V1", V1V 1V1,Centreville Construction Ltd,Dwelling Uses,2017,843, V1V,7.763427993562937
BP-2016-03526,2017-05-16,6482207,New Building,"2687 MAPLE STREET, Vancouver, BC V1V 1V1", V1V 1V1,610148 BC Ltd,Dwelling Uses,2017,843, V1V,6.811722895490135
BP-2017-02333,2017-05-18,1536304,Addition / Alteration,"1055 W GEORGIA STREET, Vancouver, BC V6E 3P3", V6E 3P3,NA,Office Uses,2017,33, V6E,6.186477161306949
DB-2016-03687,2017-05-18,160000,New Building,"5646 INVERNESS STREET, Vancouver, BC V1V 1V1", V1V 1V1,Harsent Construction Group Ltd,Dwelling Uses,2017,843, V1V,5.204119982655925
BP-2017-00182,2017-05-19,25000,Demolition / Deconstruction,"2384 E 34TH AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,East West Excavating Ltd,Dwelling Uses,2017,843, V1V,4.3979400086720375
BP-2017-02407,2017-05-23,25000,Addition / Alteration,"200 GRANVILLE STREET, Vancouver, BC V6C 1S4", V6C 1S4,North Stream Contracting Ltd,Office Uses,2017,38, V6C,4.3979400086720375
BP-2016-04615,2017-05-24,20000,Demolition / Deconstruction,"288 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1", V1V 1V1,Mosaic Avenue Construction Ltd,Dwelling Uses,2017,843, V1V,4.301029995663981
